SEQN,Gender,Age,Race,Citizenship,Edu_y,Edu_a,Language,HouseholdSize,Child_5,Child_17,Old,Income,IncPov
83732,Male,62,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,1,"$ 55,000 - 74,999",4.39
83733,Male,53,Non-Hispanic White,Not a US Citizen,,High School,English,1,0,0,0,"$ 10,000 - 19,999",1.32
83734,Male,78,Non-Hispanic White,US Citizen,,High School,English,2,0,0,2,"$ 20,000 - 34,999",1.51
83735,Female,56,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,0,"$ 55,000 - 74,999",5
83736,Female,42,Non-Hispanic Black,US Citizen,,College/AA degree,English,5,0,2,0,"$ 35,000 - 54,999",1.23
83737,Female,72,Mexican American,Not a US Citizen,,9th-11th,Spanish,5,1,1,1,"$ 75,000 - 99,999",2.82
83738,Female,11,Mexican American,US Citizen,Middle School,,English,5,0,2,1,"$ 20,000 - 34,999",1.18
83739,Male,4,Non-Hispanic White,US Citizen,,,English,5,2,1,0,"$ 100,000 +",4.22
83740,Male,1,Other Hispanic,US Citizen,,,English,7,2,2,0,Don't Know,
83741,Male,22,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,0,0,0,"$ 35,000 - 54,999",2.08
83742,Female,32,Mexican American,Not a US Citizen,,College/AA degree,English,4,1,1,0,"$ 20,000 - 34,999",1.03
83743,Male,18,Non-Hispanic Asian,US Citizen,High School,,English,3,0,0,0,"$ 100,000 +",5
83744,Male,56,Non-Hispanic Black,US Citizen,,High School,English,1,0,0,0,"$ 10,000 - 19,999",1.19
83745,Female,15,Non-Hispanic White,US Citizen,High School,,English,3,0,2,0,"$ 10,000 - 19,999",0.86
83746,Female,4,Non-Hispanic Asian,Not a US Citizen,,,English,4,1,1,0,"$ 20,000 - 34,999",
83747,Male,46,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 10,000 - 19,999",0.75
83748,Male,3,Non-Hispanic Black,US Citizen,,,English,6,3,0,0,"$ 20,000 - 34,999",0.94
83749,Female,17,Non-Hispanic White,US Citizen,High School,,English,5,0,1,0,"$ 75,000 - 99,999",3.16
83750,Male,45,Other Race,US Citizen,,9th-11th,English,5,0,2,0,"$ 55,000 - 74,999",1.36
83751,Female,16,Mexican American,US Citizen,High School,,English,6,1,2,2,"$ 10,000 - 19,999",0.58
83752,Female,30,Other Hispanic,US Citizen,,College/AA degree,English,2,0,0,0,"$ 100,000 +",5
83753,Male,15,Non-Hispanic Black,US Citizen,Middle School,,English,3,0,1,0,"$ 35,000 - 54,999",2.49
83754,Female,67,Other Hispanic,US Citizen,,College Grad and above,English,7,0,3,2,"$ 20,000 - 34,999",0.89
83755,Male,67,Non-Hispanic Black,US Citizen,,College Grad and above,English,1,0,0,1,"$ 20,000 - 34,999",2.04
83756,Male,16,Non-Hispanic White,US Citizen,High School,,English,6,0,3,0,"$ 35,000 - 54,999",1.11
83757,Female,57,Other Hispanic,US Citizen,,Less than 9th Grade,English,5,1,0,0,"$ 20,000 - 34,999",0.77
83758,Male,80,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,1,"$ 55,000 - 74,999",4.71
83759,Female,19,Mexican American,US Citizen,High School,,English,3,0,0,0,"$ 35,000 - 54,999",1.74
83760,Female,3,Non-Hispanic Black,US Citizen,,,English,6,2,2,0,"$ 35,000 - 54,999",1.1
83761,Female,24,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,1,0,0,0,"$ 0 - 9,999",5.40E-79
83762,Female,27,Non-Hispanic Black,US Citizen,,College/AA degree,English,2,0,0,0,"$ 35,000 - 54,999",2.12
83763,Female,2,Other Hispanic,US Citizen,,,English,5,1,2,0,"$ 55,000 - 74,999",1.94
83764,Male,14,Non-Hispanic White,US Citizen,Middle School,,English,4,0,2,0,"$ 100,000 +",5
83765,Female,0,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 55,000 - 74,999",3.17
83766,Female,10,Non-Hispanic White,US Citizen,Primary School,,English,5,0,4,0,"$ 75,000 - 99,999",3.34
83767,Female,54,Non-Hispanic Asian,US Citizen,,College/AA degree,English,6,0,2,0,"$ 75,000 - 99,999",2.99
83768,Female,15,Non-Hispanic White,US Citizen,High School,,English,5,0,2,0,"$ 20,000 - 34,999",1.09
83769,Male,49,Non-Hispanic Asian,US Citizen,,9th-11th,English,4,0,1,0,"$ 55,000 - 74,999",2.97
83770,Male,15,Non-Hispanic Black,US Citizen,Middle School,,English,4,0,3,0,"$ 10,000 - 19,999",0.66
83771,Female,2,Mexican American,US Citizen,,,English,3,1,0,0,,
83772,Female,2,Other Race,US Citizen,,,English,3,1,0,0,"$ 20,000 - 34,999",1.25
83773,Female,80,Non-Hispanic White,US Citizen,,High School,English,1,0,0,1,"$ 35,000 - 54,999",3.57
83774,Female,13,Non-Hispanic White,US Citizen,Middle School,,English,6,0,4,0,"$ 100,000 +",4.3
83775,Female,69,Other Hispanic,US Citizen,,Less than 9th Grade,Spanish,1,0,0,1,"$ 0 - 9,999",0.55
83776,Female,58,Mexican American,US Citizen,,College Grad and above,English,3,0,1,1,"$ 75,000 - 99,999",3.72
83777,Male,56,Non-Hispanic Asian,US Citizen,,9th-11th,English,5,0,0,0,"$ 35,000 - 54,999",1.35
83778,Male,16,Other Hispanic,US Citizen,High School,,English,4,0,2,0,"$ 20,000 - 34,999",0.99
83779,Female,1,Non-Hispanic Asian,US Citizen,,,English,3,1,0,0,Don't Know,
83780,Male,4,Mexican American,US Citizen,,,English,5,1,1,1,"$ 75,000 - 99,999",2.82
83781,Female,27,Non-Hispanic Black,US Citizen,,College Grad and above,English,2,0,0,1,Don't Know,
83782,Female,0,Non-Hispanic White,US Citizen,,,English,7,1,2,0,"$ 35,000 - 54,999",0.98
83783,Male,17,Non-Hispanic White,US Citizen,High School,,English,4,0,2,0,"$ 100,000 +",4.28
83784,Male,22,Other Hispanic,US Citizen,,College/AA degree,English,4,0,0,0,,
83785,Female,60,Other Hispanic,US Citizen,,College Grad and above,English,4,0,0,2,"$ 100,000 +",5
83786,Male,51,Non-Hispanic Black,US Citizen,,College/AA degree,English,2,0,0,1,Don't Know,
83787,Female,68,Mexican American,US Citizen,,Less than 9th Grade,Spanish,1,0,0,1,"$ 10,000 - 19,999",1.49
83788,Female,69,Non-Hispanic White,US Citizen,,College/AA degree,English,3,0,1,2,"$ 35,000 - 54,999",1.79
83789,Male,66,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,1,"$ 55,000 - 74,999",5
83790,Male,56,Non-Hispanic White,US Citizen,,Less than 9th Grade,English,2,0,0,1,"$ 10,000 - 19,999",1
83791,Female,80,Non-Hispanic White,US Citizen,,9th-11th,English,2,0,0,2,"$ 20,000 - 34,999",
83792,Female,3,Mexican American,US Citizen,,,English,3,1,0,0,"$ 75,000 - 99,999",2.51
83793,Female,11,Non-Hispanic White,US Citizen,Primary School,,English,6,1,4,0,"$ 35,000 - 54,999",1.23
83794,Female,10,Non-Hispanic Black,US Citizen,Primary School,,English,4,1,1,0,"$ 100,000 +",4.23
83795,Male,5,Non-Hispanic White,US Citizen,,,English,4,1,1,0,"$ 55,000 - 74,999",2.3
83796,Female,4,Non-Hispanic White,US Citizen,,,English,4,1,1,0,"$ 20,000 - 34,999",1.32
83797,Female,1,Other Hispanic,US Citizen,,,English,5,2,0,0,"$ 100,000 +",4.22
83798,Female,0,Other Race,US Citizen,,,English,4,2,0,0,"$ 100,000 +",5
83799,Female,37,Other Hispanic,US Citizen,,College/AA degree,English,3,0,1,0,"$ 75,000 - 99,999",4.18
83800,Male,10,Non-Hispanic Black,US Citizen,Primary School,,English,4,1,1,0,"$ 55,000 - 74,999",2.57
83801,Female,80,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,2,Don't Know,
83802,Female,29,Mexican American,US Citizen,,High School,English,6,3,0,0,,
83803,Male,27,Non-Hispanic Black,US Citizen,,College/AA degree,English,1,0,0,0,"$ 20,000 - 34,999",2.36
83804,Male,1,Mexican American,US Citizen,,,Spanish,6,1,2,0,"$ 10,000 - 19,999",0.57
83805,Female,7,Non-Hispanic Black,US Citizen,Primary School,,English,3,1,1,0,"$ 35,000 - 54,999",1.89
83806,Female,2,Non-Hispanic White,US Citizen,,,English,4,1,1,0,"$ 10,000 - 19,999",5.40E-79
83807,Female,10,Mexican American,US Citizen,Primary School,,Spanish,7,1,4,1,"$ 20,000 - 34,999",
83808,Male,4,Non-Hispanic Asian,US Citizen,,,English,7,1,1,1,"$ 55,000 - 74,999",1.91
83809,Female,20,Non-Hispanic Black,US Citizen,,High School,English,4,1,0,0,"$ 75,000 - 99,999",3.3
83810,Female,6,Non-Hispanic Black,US Citizen,Never Attended/KG,,English,6,1,3,0,"$ 35,000 - 54,999",1.1
83811,Female,7,Non-Hispanic White,US Citizen,Primary School,,English,7,1,2,2,"$ 100,000 +",4.68
83812,Female,68,Mexican American,US Citizen,,High School,English,3,0,0,2,"$ 100,000 +",5
83813,Male,24,Non-Hispanic White,US Citizen,,College/AA degree,English,1,0,0,0,"$ 20,000 - 34,999",2.89
83814,Female,11,Other Hispanic,US Citizen,Primary School,,English,4,0,1,0,"$ 100,000 +",4.73
83815,Female,15,Non-Hispanic Black,US Citizen,High School,,English,6,0,4,0,"$ 20,000 - 34,999",0.77
83816,Male,27,Non-Hispanic White,US Citizen,,College/AA degree,English,3,0,0,0,"$ 35,000 - 54,999",5.40E-79
83817,Male,42,Non-Hispanic White,US Citizen,,College Grad and above,English,5,2,1,0,"$ 100,000 +",4.22
83818,Female,80,Other Hispanic,US Citizen,,Less than 9th Grade,Spanish,1,0,0,1,"$ 10,000 - 19,999",0.84
83819,Female,16,Non-Hispanic White,US Citizen,Middle School,,English,4,0,2,0,"$ 35,000 - 54,999",2.07
83820,Male,70,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,2,"$ 55,000 - 74,999",4.18
83821,Male,80,Non-Hispanic White,US Citizen,,Less than 9th Grade,English,1,0,0,1,"$ 10,000 - 19,999",1.03
83822,Female,20,Non-Hispanic Black,US Citizen,,College/AA degree,English,2,0,0,0,"$ 20,000 - 34,999",1.62
83823,Female,29,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,5,2,1,0,"$ 10,000 - 19,999",0.35
83824,Male,23,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,4,0,0,0,,5.40E-79
83825,Female,16,Non-Hispanic Black,US Citizen,High School,,English,6,1,3,0,"$ 20,000 - 34,999",0.77
83826,Male,6,Mexican American,US Citizen,Never Attended/KG,,Spanish,7,1,3,0,Don't Know,
83827,Male,61,Non-Hispanic Black,US Citizen,,High School,English,2,0,0,1,"$ 55,000 - 74,999",4.39
83828,Female,39,Mexican American,Not a US Citizen,,High School,Spanish,7,0,3,2,"$ 10,000 - 19,999",0.49
83829,Male,50,Non-Hispanic Asian,US Citizen,,College Grad and above,English,5,0,2,0,"$ 100,000 +",5
83830,Male,15,Non-Hispanic Black,US Citizen,Middle School,,English,4,1,2,0,"$ 35,000 - 54,999",1.98
83831,Female,15,Other Race,US Citizen,High School,,English,7,1,4,0,"$ 20,000 - 34,999",0.6
83832,Female,50,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,5,0,1,0,"$ 35,000 - 54,999",1.41
83833,Male,14,Non-Hispanic White,US Citizen,Middle School,,English,4,0,2,0,"$ 55,000 - 74,999",2.98
83834,Male,69,Non-Hispanic Black,US Citizen,,High School,English,1,0,0,1,"$ 10,000 - 19,999",0.97
83835,Female,13,Non-Hispanic Black,US Citizen,Middle School,,English,4,1,2,0,"$ 0 - 9,999",0.31
83836,Female,18,Mexican American,US Citizen,High School,,English,6,0,1,0,"$ 75,000 - 99,999",2.76
83837,Female,45,Mexican American,US Citizen,,9th-11th,English,7,1,2,0,"$ 75,000 - 99,999",2.18
83838,Female,8,Mexican American,US Citizen,Primary School,,English,6,2,2,0,"$ 0 - 9,999",0.17
83839,Male,13,Non-Hispanic White,US Citizen,Middle School,,English,4,0,2,0,"$ 100,000 +",4.32
83840,Female,0,Mexican American,US Citizen,,,English,4,1,0,0,"$ 35,000 - 54,999",0.75
83841,Male,13,Other Race,US Citizen,Middle School,,English,4,0,1,0,"$ 100,000 +",4.12
83842,Male,1,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 75,000 - 99,999",4.46
83843,Male,80,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,2,"$ 35,000 - 54,999",2.82
83844,Male,27,Mexican American,Not a US Citizen,,9th-11th,Spanish,5,0,1,0,"$ 35,000 - 54,999",1.41
83845,Female,44,Non-Hispanic Black,US Citizen,,Less than 9th Grade,English,7,2,2,0,"$ 55,000 - 74,999",1.5
83846,Female,41,Non-Hispanic Black,US Citizen,,College/AA degree,English,2,0,1,0,,
83847,Male,18,Non-Hispanic White,US Citizen,High School,,English,3,0,0,0,"$ 100,000 +",5
83848,Male,10,Non-Hispanic White,US Citizen,Primary School,,English,4,0,1,0,"$ 35,000 - 54,999",1.65
83849,Male,71,Other Hispanic,US Citizen,,College/AA degree,English,3,0,0,2,"$ 20,000 - 34,999",1.34
83850,Male,13,Non-Hispanic White,US Citizen,Middle School,,English,4,0,1,0,"$ 100,000 +",5
83851,Female,37,Non-Hispanic White,US Citizen,,High School,English,4,0,2,0,"$ 35,000 - 54,999",1.86
83852,Female,0,Non-Hispanic White,US Citizen,,,English,5,3,0,0,"$ 100,000 +",5
83853,Female,49,Non-Hispanic White,US Citizen,,High School,English,3,0,0,1,"$ 100,000 +",5
83854,Female,46,Mexican American,US Citizen,,College Grad and above,English,4,0,2,0,"$ 55,000 - 74,999",2.39
83855,Female,12,Non-Hispanic White,US Citizen,Primary School,,English,4,0,2,0,"$ 35,000 - 54,999",1.65
83856,Male,30,Non-Hispanic White,US Citizen,,College/AA degree,English,4,1,1,0,"$ 35,000 - 54,999",1.9
83857,Female,31,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 100,000 +",5
83858,Male,0,Mexican American,US Citizen,,,Spanish,7,2,3,0,Don't Know,
83859,Male,2,Non-Hispanic White,US Citizen,,,English,7,3,0,1,"$ 10,000 - 19,999",0.34
83860,Male,41,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,0,2,0,"$ 100,000 +",5
83861,Male,80,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,1,"$ 35,000 - 54,999",4.21
83862,Female,19,Other Hispanic,US Citizen,High School,,English,4,0,0,1,Don't Know,
83863,Male,35,Mexican American,Not a US Citizen,,High School,English,5,2,1,0,"$ 75,000 - 99,999",2.64
83864,Male,4,Non-Hispanic Black,US Citizen,,,English,2,1,0,0,"$ 0 - 9,999",0.19
83865,Female,21,Non-Hispanic White,US Citizen,,9th-11th,English,4,1,0,2,"$ 35,000 - 54,999",2.14
